player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Richarlison Richarlison,Spurs,FWD,6.7,17,4,8.5,12.0,2,1,148,2,0,0,0,0,0,1,0,3,90.6,11.3,103.0,20.5,8.5,1,1.3,2.5,896337,140960,558969,79892,0.2,-0.2,0.1,-0.1,0.88,0.12,1.0,2.26,2,2,5,6,13,7.91,,3,2,163,14,1,1,1,1,,,,,3.0,,0.54,0.0,0.07,0.61,1.37,0.0,44,15,9,2,11,2,34,8,1.22,1.22
Jordan Pickford,Everton,GKP,5.5,17,15,8.5,11.9,0,0,180,1,1,0,1,0,6,0,0,3,71.4,0.0,0.0,7.1,8.5,1,1.5,3.1,155512,121209,133759,34601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2,0,5,19,0,0.0,,13,1,672,80,660,80,94,1,,,,,,,0.0,3.0,0.0,0.0,2.25,0.5,124,1,8,2,10,2,36,5,1.0,0.5
Dan Ndoye,Nott'm Forest,MID,6.0,16,7,8.0,2.7,1,1,148,0,2,0,0,0,0,0,0,4,56.0,30.0,35.0,12.1,8.0,0,1.3,2.7,222666,38915,178326,25553,0.0,0.0,0.0,0.0,0.1,0.36,0.46,2.6,2,0,2,6,8,4.86,,32,13,59,46,43,23,27,17,,,,,,,0.06,0.0,0.22,0.28,1.58,1.22,90,61,14,5,16,6,104,34,1.22,0.0
David Raya,Arsenal,GKP,5.5,16,6,8.0,21.4,0,0,180,2,0,0,0,0,8,1,0,3,62.6,0.0,0.0,6.2,8.0,1,1.5,2.9,399260,177045,121921,118365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,2,0,1,16,0,0.0,,21,2,674,82,662,82,108,2,,,,,,,0.0,4.0,0.0,0.0,0.84,0.0,131,3,13,3,15,3,18,3,1.0,1.0
Marcus Tavernier,Bournemouth,MID,5.5,15,11,7.5,1.0,1,0,167,1,4,0,0,0,0,0,0,3,67.4,18.6,61.0,14.7,7.5,1,1.4,2.7,76433,24595,51638,16035,0.0,0.0,0.0,0.0,0.51,0.27,0.78,2.62,2,3,9,12,24,12.93,,16,8,102,68,12,5,19,12,1.0,,1.0,,,,0.27,0.0,0.15,0.42,1.41,2.16,140,88,15,6,17,7,184,61,1.08,0.54
Chris Wood,Nott'm Forest,FWD,7.7,15,2,7.5,24.7,2,0,165,0,2,0,0,0,0,0,0,3,66.2,15.3,67.0,14.5,7.5,1,1.0,1.9,1208039,239060,540764,146717,0.2,-0.2,0.1,-0.1,1.18,0.07,1.25,2.6,2,0,0,2,2,1.09,,18,5,126,11,8,4,20,5,,,,,1.0,,0.64,0.0,0.04,0.68,1.42,1.09,19,7,18,4,20,4,14,5,1.09,0.0
Jaidon Anthony,Burnley,MID,5.5,15,13,7.5,0.4,1,1,174,1,3,0,0,0,0,0,0,2,65.4,40.8,60.0,16.6,7.5,1,1.4,2.7,21680,6595,19108,4556,0.0,0.0,0.0,0.0,1.21,0.38,1.59,3.09,2,3,1,11,15,7.76,,20,9,41,35,13,6,11,7,3.0,,1.0,,,,0.63,0.0,0.2,0.83,1.6,1.55,162,101,16,7,18,8,287,92,1.03,0.52
William Saliba,Arsenal,DEF,6.1,15,6,7.5,18.1,0,0,180,2,0,0,0,0,0,0,0,1,49.8,2.2,2.0,5.5,7.5,0,1.2,2.5,421587,172868,110354,109337,0.1,-0.1,0.1,-0.1,0.0,0.01,0.01,1.69,2,4,15,7,19,9.5,,45,13,249,80,260,82,130,40,,,,,,,0.0,0.0,0.0,0.0,0.84,0.0,82,4,17,4,19,5,25,8,1.0,1.0
Erling Haaland,Man City,FWD,14.1,15,2,7.5,31.6,2,0,162,1,2,0,0,0,0,0,0,3,59.4,15.5,86.0,16.1,7.5,1,0.5,1.1,690283,197018,243949,147257,0.1,-0.1,0.1,-0.1,2.46,0.3,2.76,1.46,2,1,1,4,6,3.33,,27,6,121,10,3,2,13,4,,,5.0,,1.0,,1.37,0.0,0.17,1.54,0.81,1.11,2,1,19,5,21,5,6,2,1.11,0.56
Trevoh Chalobah,Chelsea,DEF,5.0,14,8,7.0,3.4,1,0,158,1,1,0,0,0,0,0,0,0,65.6,6.3,37.0,10.9,7.0,0,1.4,2.8,232665,43784,194290,28433,0.0,0.0,0.0,0.0,0.4,0.04,0.44,0.95,2,2,12,7,14,7.97,,19,5,195,56,39,4,42,6,,,,,,,0.23,0.0,0.02,0.25,0.54,0.57,244,37,20,5,23,6,93,37,1.14,0.57
Mohammed Kudus,Spurs,MID,6.6,13,3,6.5,31.3,0,2,169,2,0,0,0,0,0,0,0,1,56.8,92.9,13.0,16.2,6.5,1,1.0,2.0,827555,243272,451951,109733,0.1,-0.1,0.1,-0.1,0.06,0.67,0.73,2.49,2,4,0,9,13,6.92,,31,12,2,2,125,78,12,8,2.0,,,,,,0.03,0.0,0.36,0.39,1.33,0.0,45,30,28,11,31,12,7,4,1.07,1.07
Enzo Enzo,Chelsea,MID,6.5,13,10,6.5,4.8,1,1,168,1,1,0,0,0,0,0,0,0,37.0,25.3,40.0,10.2,6.5,0,1.0,2.0,154760,85622,137539,30733,0.0,0.0,0.0,0.0,1.03,0.12,1.15,1.34,2,2,0,3,5,2.68,,84,31,81,56,34,19,50,34,4.0,,3.0,,4.0,,0.55,0.0,0.06,0.61,0.72,0.54,61,43,27,10,30,11,83,28,1.07,0.54
Viktor Gyökeres,Arsenal,FWD,9.0,13,12,6.5,25.1,2,0,149,1,0,0,0,0,0,0,0,2,67.4,7.1,50.0,12.5,6.5,1,0.7,1.4,460330,444368,256914,179973,0.0,0.0,0.0,0.0,1.28,0.09,1.37,0.87,2,0,3,4,7,4.23,,17,4,191,17,23,9,25,6,,,,,2.0,,0.77,0.0,0.05,0.82,0.53,0.0,8,4,29,6,32,6,11,4,1.21,0.6
Marc Cucurella,Chelsea,DEF,6.1,13,5,6.5,26.7,0,1,158,1,1,0,0,0,0,0,0,2,42.0,29.6,17.0,8.8,6.5,0,1.1,2.1,756422,154304,414866,66502,0.1,-0.1,0.1,-0.1,0.11,0.42,0.53,0.95,2,3,6,11,9,5.13,,63,22,63,13,101,14,67,12,,,,,,,0.06,0.0,0.24,0.3,0.54,0.57,79,1,26,8,29,9,9,2,1.14,0.57
Tino Livramento,Newcastle,DEF,5.0,13,4,6.5,6.6,0,1,180,1,3,0,0,0,0,0,0,3,42.8,40.7,8.0,9.1,6.5,0,1.3,2.6,310135,52357,246805,26140,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.9,2,2,4,8,6,3.0,,62,21,42,5,166,43,63,10,,,,,,,0.0,0.0,0.12,0.12,0.45,1.5,285,46,23,7,27,8,62,22,1.0,0.5
Nick Pope,Newcastle,GKP,5.0,13,4,6.5,5.0,0,1,180,1,3,0,0,0,4,0,0,2,37.0,0.0,0.0,3.7,6.5,0,1.3,2.6,131183,52170,88252,25391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2,0,2,20,0,0.0,,83,9,613,72,587,70,192,12,,,,,,,0.0,2.0,0.0,0.0,0.45,1.5,228,7,21,4,25,5,81,11,1.0,0.5
Mohamed M.Salah,Liverpool,MID,14.5,13,5,6.5,53.4,1,1,180,0,4,0,0,0,0,0,0,1,70.0,62.1,57.0,18.9,6.5,0,0.4,0.9,354709,284772,204055,135341,0.0,0.0,0.0,0.0,0.26,0.32,0.58,2.63,2,0,2,10,12,6.0,,15,7,17,15,19,8,7,4,,,4.0,,1.0,,0.13,0.0,0.16,0.29,1.32,2.0,1,1,30,12,33,13,2,1,1.0,0.0
Moisés Caicedo,Chelsea,MID,5.5,13,8,6.5,6.4,1,0,180,1,1,0,0,0,0,0,0,1,82.0,9.1,19.0,11.0,6.5,0,1.2,2.4,152600,102948,104744,39324,0.0,0.0,0.0,0.0,0.28,0.06,0.34,1.39,2,8,8,3,19,9.5,,9,5,179,109,92,59,39,28,,,,,,,0.14,0.0,0.03,0.17,0.7,0.5,168,107,24,8,28,10,65,21,1.0,0.5
Cristian Romero,Spurs,DEF,5.0,13,7,6.5,5.1,0,0,180,2,0,0,0,0,0,1,0,0,38.6,1.7,8.0,4.8,6.5,0,1.3,2.6,166638,67464,135263,26569,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2.49,2,3,12,9,15,7.5,,79,34,258,83,164,41,155,49,,,,,,,0.0,0.0,0.01,0.01,1.24,0.0,264,41,22,6,26,7,80,31,1.0,1.0
Dango O.Dango,Brentford,MID,6.0,13,13,13.0,0.9,1,0,83,1,0,0,0,0,0,0,0,3,50.4,3.7,56.0,11.0,6.5,1,1.1,2.2,70267,15470,69226,12674,0.0,0.0,0.0,0.0,0.77,0.02,0.79,1.1,1,4,5,6,15,16.27,,41,19,219,129,20,9,40,29,,,,,,,0.83,0.0,0.02,0.85,1.19,0.0,95,64,25,9,2,1,191,65,1.08,1.08
Rico Lewis,Man City,DEF,5.0,12,1,6.0,4.0,0,1,155,1,2,0,0,0,0,0,0,2,45.6,27.9,13.0,8.6,6.0,1,1.2,2.4,301288,76831,78322,46217,0.0,0.0,0.0,0.0,0.02,0.67,0.69,1.46,2,3,9,4,12,6.97,,54,16,68,15,121,19,72,15,,,,,,,0.01,0.0,0.39,0.4,0.85,1.16,296,48,34,11,38,12,87,35,1.16,0.58
Callum Hudson-Odoi,Nott'm Forest,MID,6.0,12,10,6.0,1.4,1,0,161,0,2,0,0,0,0,0,0,3,47.4,35.6,33.0,11.6,6.0,0,1.0,2.0,47729,30813,40380,11420,0.0,0.0,0.0,0.0,0.33,0.26,0.59,2.6,2,1,1,1,3,1.68,,48,22,48,39,45,25,31,21,4.0,,,,,,0.18,0.0,0.15,0.33,1.45,1.12,89,60,39,17,44,19,154,49,1.12,0.0
Jack Grealish,Everton,MID,6.5,12,11,6.0,5.9,0,2,109,1,1,0,0,0,0,0,0,2,54.0,36.1,17.0,10.8,6.0,1,0.9,1.8,293068,90442,277879,32689,0.0,0.0,0.0,0.0,0.03,0.7,0.73,3.57,1,3,2,8,13,10.73,,37,16,47,38,103,67,44,31,,,,,,,0.02,0.0,0.58,0.6,2.95,0.83,46,31,41,18,47,21,69,23,0.83,0.83
Tijjani Reijnders,Man City,MID,5.7,12,2,6.0,33.1,1,1,180,1,2,0,0,0,0,1,0,0,55.2,28.8,32.0,11.7,6.0,1,1.1,2.1,1524477,201055,317128,158435,0.2,-0.2,0.1,-0.1,0.24,0.18,0.42,1.67,2,2,1,5,8,4.0,,35,15,65,48,47,27,29,19,,,,,,,0.12,0.0,0.09,0.21,0.84,1.0,117,78,38,16,43,18,5,3,1.0,0.5
Declan Rice,Arsenal,MID,6.5,12,6,6.0,8.6,0,2,172,2,0,0,0,0,0,0,0,0,27.8,51.3,10.0,8.9,6.0,0,0.9,1.8,171860,136181,81666,68573,0.0,0.0,0.0,0.0,0.13,0.55,0.68,1.21,2,0,1,6,7,3.66,,127,46,25,23,151,91,65,45,2.0,,1.0,,,,0.07,0.0,0.29,0.36,0.63,0.0,50,35,42,19,48,22,47,15,1.05,1.05
Djed Spence,Spurs,DEF,4.5,12,6,6.0,2.0,0,0,180,2,0,0,0,0,0,0,0,0,20.4,8.4,24.0,5.3,6.0,0,1.3,2.7,100886,27992,83250,13951,0.0,0.0,0.0,0.0,0.18,0.09,0.27,2.49,2,2,7,6,9,4.5,,162,68,182,52,59,8,140,43,,,,,,,0.09,0.0,0.04,0.13,1.24,0.0,424,105,31,9,34,10,123,48,1.0,1.0
James Tarkowski,Everton,DEF,5.5,12,8,6.0,7.5,0,0,180,1,1,0,0,0,0,0,0,0,44.2,2.4,11.0,5.8,6.0,0,1.1,2.2,127596,82575,96357,32894,0.0,0.0,0.0,0.0,0.2,0.01,0.21,4.5,2,2,23,6,25,12.5,,58,17,241,74,139,26,120,35,,,,,,,0.1,0.0,0.0,0.1,2.25,0.5,120,12,35,12,39,13,58,20,1.0,0.5
James Garner,Everton,MID,5.0,12,10,6.0,0.2,1,0,180,1,1,0,0,0,0,1,0,1,70.6,29.8,10.0,11.1,6.0,0,1.2,2.4,13397,4443,12939,3022,0.0,0.0,0.0,0.0,0.07,0.08,0.15,4.5,2,3,14,8,25,12.5,,14,6,62,47,147,89,36,25,3.0,,3.0,,,,0.04,0.0,0.04,0.08,2.25,0.5,270,170,33,13,37,15,346,119,1.0,0.5
Micky Van de Ven,Spurs,DEF,4.5,12,6,6.0,28.5,0,0,180,2,0,0,0,0,0,0,0,0,24.2,1.7,14.0,4.0,6.0,0,1.3,2.7,431245,206210,268811,76540,0.0,0.0,0.0,0.0,0.59,0.01,0.6,2.49,2,2,8,7,10,5.0,,144,63,256,82,115,16,175,60,,,,,,,0.3,0.0,0.0,0.3,1.24,0.0,469,122,32,10,35,11,8,1,1.0,1.0
Matt O'Riley,Brighton,MID,5.5,12,2,6.0,1.6,1,0,177,1,2,0,0,0,0,0,0,2,60.8,66.6,63.0,19.0,6.0,1,1.1,2.2,126569,54200,11322,31007,0.0,0.0,0.0,0.0,1.21,0.17,1.38,2.12,2,4,3,2,9,4.58,,24,10,11,10,11,4,6,3,1.0,,2.0,,2.0,,0.62,0.0,0.09,0.71,1.08,1.02,145,92,37,15,42,17,150,47,1.02,0.51
Gabriel Gabriel,Arsenal,DEF,6.1,12,6,6.0,20.5,0,0,180,2,0,0,0,0,0,0,0,0,36.2,3.6,10.0,5.0,6.0,0,1.0,2.0,447228,205591,111691,124993,0.1,-0.1,0.1,-0.1,0.04,0.01,0.05,1.69,2,1,9,5,10,5.0,,91,39,220,66,150,32,150,47,,,,,,,0.02,0.0,0.0,0.02,0.84,0.0,80,2,40,13,46,15,21,5,1.0,1.0
João Maria J.Palhinha,Spurs,MID,5.5,12,11,6.0,0.6,1,0,100,1,0,0,0,0,0,0,0,3,50.0,1.3,19.0,7.1,6.0,0,1.1,2.2,31019,14690,29780,5071,0.0,0.0,0.0,0.0,0.14,0.0,0.14,1.55,1,4,3,2,9,8.1,,44,21,268,147,91,58,95,58,,,,,,,0.13,0.0,0.0,0.13,1.4,0.0,130,83,36,14,40,16,220,72,0.9,0.9
Dan Burn,Newcastle,DEF,5.0,11,2,5.5,5.0,0,0,180,1,3,0,0,0,0,1,0,1,39.0,15.5,14.0,6.9,5.5,0,1.1,2.2,144702,50854,90259,24595,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.9,2,2,21,7,23,11.5,,78,33,120,34,117,18,98,25,,,,,,,0.0,0.0,0.04,0.04,0.45,1.5,224,33,46,17,52,19,82,32,1.0,0.5
Ismaïla Sarr,Crystal Palace,MID,6.5,11,8,5.5,5.3,1,0,180,1,1,0,0,0,0,0,0,1,46.0,18.3,17.0,8.2,5.5,0,0.8,1.7,140439,105386,113297,39643,0.0,0.0,0.0,0.0,0.55,0.05,0.6,2.53,2,2,4,5,11,5.5,,52,24,103,69,105,69,79,50,,,,,,,0.28,0.0,0.02,0.3,1.26,0.5,54,38,52,21,58,24,76,26,1.0,0.5
Marcos Senesi,Bournemouth,DEF,4.5,11,9,5.5,1.6,0,0,180,1,4,0,0,0,0,0,0,1,51.6,15.5,4.0,7.1,5.5,0,1.2,2.4,104826,29465,49160,18237,0.0,0.0,0.0,0.0,0.0,0.06,0.06,2.67,2,4,25,6,29,14.5,,39,11,119,33,210,62,92,23,,,,,,,0.0,0.0,0.03,0.03,1.34,2.0,413,97,43,14,49,16,144,56,1.0,0.5
Maxence Lacroix,Crystal Palace,DEF,5.0,11,3,5.5,1.6,0,0,180,1,1,0,0,0,0,1,0,0,55.4,0.4,23.0,7.9,5.5,0,1.1,2.2,66171,29059,33116,16303,0.0,0.0,0.0,0.0,0.1,0.0,0.1,2.53,2,6,22,7,28,14.0,,34,9,306,109,65,10,84,19,,,,,,,0.05,0.0,0.0,0.05,1.26,0.5,283,45,49,19,55,21,146,57,1.0,0.5
Michael Kayode,Brentford,DEF,4.5,11,10,5.5,0.4,0,0,174,1,3,0,0,0,0,0,0,2,50.2,21.0,2.0,7.3,5.5,0,1.2,2.4,24750,6040,23523,4236,0.0,0.0,0.0,0.0,0.0,0.09,0.09,2.96,2,7,10,6,17,8.79,,42,12,93,21,236,74,90,22,,,,,,,0.0,0.0,0.05,0.05,1.53,1.55,549,136,45,16,51,18,261,98,1.03,0.52
Sepp Van den Berg,Brentford,DEF,4.5,11,8,5.5,0.7,0,0,180,1,3,0,0,0,0,0,0,0,62.4,0.9,24.0,8.7,5.5,0,1.2,2.4,28967,9348,23700,5812,0.0,0.0,0.0,0.0,0.21,0.0,0.21,3.05,2,2,24,6,26,13.0,,22,6,286,101,60,9,70,13,,,,,,,0.1,0.0,0.0,0.1,1.52,1.5,441,114,44,15,50,17,216,82,1.0,0.5
Pedro Pedro Porro,Spurs,DEF,5.5,11,5,5.5,24.7,0,0,180,2,0,0,0,0,0,1,0,0,36.4,76.2,9.0,12.2,5.5,0,1.0,2.0,456910,224237,333177,73220,0.0,0.0,0.0,0.0,0.1,0.39,0.49,2.49,2,3,7,8,10,5.0,,86,37,7,1,158,36,26,4,1.0,,2.0,,,,0.05,0.0,0.2,0.25,1.24,0.0,160,22,50,20,56,22,13,3,1.0,1.0
Matthijs De Ligt,Man Utd,DEF,5.0,11,7,5.5,3.3,0,0,180,0,2,0,0,0,0,0,0,3,62.4,16.2,26.0,10.4,5.5,0,1.1,2.2,115832,40437,66284,23318,0.0,0.0,0.0,0.0,0.21,0.07,0.28,3.07,2,3,18,6,21,10.5,,23,7,113,31,53,6,46,7,,,,,,,0.1,0.0,0.04,0.14,1.54,1.0,256,38,47,18,53,20,95,38,1.0,0.0
Lucas L.Paquetá,West Ham,MID,5.9,11,9,5.5,1.1,1,0,180,0,8,0,0,0,0,0,0,2,60.2,32.5,18.0,11.1,5.5,0,0.9,1.9,30215,44138,26321,12199,-0.1,0.1,0.0,0.0,0.07,0.17,0.24,3.42,2,6,1,10,17,8.5,,25,11,54,42,95,62,37,26,,,1.0,,1.0,,0.04,0.0,0.08,0.12,1.71,4.0,108,73,51,20,57,23,178,59,1.0,0.0
Robert Sánchez,Chelsea,GKP,5.0,11,3,5.5,24.7,0,0,180,1,1,0,0,0,7,0,0,1,48.6,0.0,0.0,4.8,5.5,0,1.1,2.2,256274,217134,99933,127225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,2,0,1,13,0,0.0,,46,6,623,76,600,75,154,6,,,,,,,0.0,3.5,0.0,0.0,0.7,0.5,260,12,48,5,54,6,12,2,1.0,0.5
Bafodé Diakité,Bournemouth,DEF,4.5,10,10,5.0,0.3,0,0,180,1,4,0,0,0,0,0,0,2,35.6,1.1,0.0,3.7,5.0,1,1.1,2.2,17098,5249,9958,3204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2,5,14,11,19,9.5,,92,40,279,96,444,192,189,64,,,,,,,0.0,0.0,0.0,0.0,1.34,2.0,427,107,56,24,62,26,310,114,1.0,0.5
Leny Yoro,Man Utd,DEF,4.5,10,6,5.0,2.6,0,1,176,0,2,0,0,0,0,0,0,1,33.2,13.9,9.0,5.6,5.0,0,1.1,2.2,100651,33243,62531,17331,0.0,0.0,0.0,0.0,0.18,0.02,0.2,3.04,2,3,16,5,19,9.72,,106,45,135,40,153,34,126,39,,,,,,,0.09,0.0,0.01,0.1,1.55,1.02,513,132,57,25,63,27,108,43,1.02,0.0
Rayan Aït-Nouri,Man City,DEF,6.1,10,1,5.0,18.3,0,0,112,1,0,0,0,0,0,0,0,1,30.4,13.9,3.0,4.7,5.0,0,0.8,1.6,413392,599616,46657,495080,0.1,-0.1,0.1,-0.1,0.04,0.02,0.06,0.64,2,6,9,5,15,12.05,Ankle injury - 75% chance of playing,118,53,136,41,230,70,160,51,,,,,,,0.03,0.0,0.02,0.05,0.51,0.0,81,3,62,28,69,30,24,7,1.61,0.8
Eliezer Mayenda,Sunderland,FWD,5.5,10,2,5.0,2.0,1,0,137,1,1,0,0,0,0,0,0,2,45.2,11.6,45.0,10.2,5.0,0,0.9,1.8,208522,73148,42016,45878,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.67,2,1,2,2,5,3.28,,55,7,154,13,25,11,49,9,,,,,1.0,,0.26,0.0,0.0,0.26,0.44,0.66,181,39,61,7,67,7,125,22,1.31,0.66
Pedro Neto,Chelsea,MID,7.0,10,7,5.0,5.1,1,0,180,1,1,0,0,0,0,0,0,0,51.4,56.1,40.0,14.8,5.0,0,0.7,1.4,176306,86414,150968,33239,0.0,0.0,0.0,0.0,0.41,0.53,0.94,1.39,2,2,1,5,8,4.0,,40,18,19,17,35,20,18,11,1.0,,,,,,0.2,0.0,0.26,0.46,0.7,0.5,35,22,64,24,72,29,78,27,1.0,0.5
Michael Keane,Everton,DEF,4.5,10,8,5.0,0.5,0,0,180,1,1,0,0,0,0,0,0,0,43.8,0.7,4.0,4.8,5.0,0,1.1,2.2,18161,8421,14701,4580,0.0,0.0,0.0,0.0,0.0,0.01,0.01,4.5,2,2,18,5,20,10.0,,59,18,291,103,209,61,153,48,,,,,,,0.0,0.0,0.0,0.0,2.25,0.5,379,73,54,22,60,24,246,88,1.0,0.5
